"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","UNEMP","TOT","PC_LF","Q","2012-Q4",4.960694,
"AUT","UNEMP","TOT","PC_LF","Q","2013-Q1",5.404846,
"AUT","UNEMP","TOT","PC_LF","Q","2013-Q2",5.076759,
"AUT","UNEMP","TOT","PC_LF","Q","2013-Q3",5.388165,
"AUT","UNEMP","TOT","PC_LF","Q","2013-Q4",5.469475,
"AUT","UNEMP","TOT","PC_LF","Q","2014-Q1",5.655822,
"AUT","UNEMP","TOT","PC_LF","Q","2014-Q2",5.501638,
"AUT","UNEMP","TOT","PC_LF","Q","2014-Q3",5.62325,
"AUT","UNEMP","TOT","PC_LF","Q","2014-Q4",5.693062,
"AUT","UNEMP","TOT","PC_LF","Q","2015-Q1",5.532932,
"AUT","UNEMP","TOT","PC_LF","Q","2015-Q2",5.861609,
"AUT","UNEMP","TOT","PC_LF","Q","2015-Q3",5.636415,
"AUT","UNEMP","TOT","PC_LF","Q","2015-Q4",5.855553,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q1",5.950112,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q2",6.169813,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q3",6.147885,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q4",5.786056,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q1",5.665127,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q2",5.452914,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q3",5.460666,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q4",5.419,
"BEL","UNEMP","TOT","PC_LF","Q","1999-Q1",8.978029,
"BEL","UNEMP","TOT","PC_LF","Q","1999-Q2",9.070471,
"BEL","UNEMP","TOT","PC_LF","Q","1999-Q3",8.318844,
"BEL","UNEMP","TOT","PC_LF","Q","1999-Q4",7.87704,
"BEL","UNEMP","TOT","PC_LF","Q","2000-Q1",7.223125,
"BEL","UNEMP","TOT","PC_LF","Q","2000-Q2",6.931065,
"BEL","UNEMP","TOT","PC_LF","Q","2000-Q3",7.035914,
"BEL","UNEMP","TOT","PC_LF","Q","2000-Q4",6.846781,
"BEL","UNEMP","TOT","PC_LF","Q","2001-Q1",6.206812,
"BEL","UNEMP","TOT","PC_LF","Q","2001-Q2",6.488744,
"BEL","UNEMP","TOT","PC_LF","Q","2001-Q3",6.321599,
"BEL","UNEMP","TOT","PC_LF","Q","2001-Q4",7.417784,
"BEL","UNEMP","TOT","PC_LF","Q","2002-Q1",7.330367,
"BEL","UNEMP","TOT","PC_LF","Q","2002-Q2",7.264156,
"BEL","UNEMP","TOT","PC_LF","Q","2002-Q3",7.457996,
"BEL","UNEMP","TOT","PC_LF","Q","2002-Q4",7.997594,
"BEL","UNEMP","TOT","PC_LF","Q","2003-Q1",8.094903,
"BEL","UNEMP","TOT","PC_LF","Q","2003-Q2",8.056385,
"BEL","UNEMP","TOT","PC_LF","Q","2003-Q3",8.154415,
"BEL","UNEMP","TOT","PC_LF","Q","2003-Q4",8.387603,
"BEL","UNEMP","TOT","PC_LF","Q","2004-Q1",8.546079,
"BEL","UNEMP","TOT","PC_LF","Q","2004-Q2",7.742696,
"BEL","UNEMP","TOT","PC_LF","Q","2004-Q3",8.944703,
"BEL","UNEMP","TOT","PC_LF","Q","2004-Q4",8.328433,
"BEL","UNEMP","TOT","PC_LF","Q","2005-Q1",8.439033,
"BEL","UNEMP","TOT","PC_LF","Q","2005-Q2",8.471881,
"BEL","UNEMP","TOT","PC_LF","Q","2005-Q3",8.487133,
"BEL","UNEMP","TOT","PC_LF","Q","2005-Q4",8.364844,
"BEL","UNEMP","TOT","PC_LF","Q","2006-Q1",8.541962,
"BEL","UNEMP","TOT","PC_LF","Q","2006-Q2",8.699217,
"BEL","UNEMP","TOT","PC_LF","Q","2006-Q3",7.905124,
"BEL","UNEMP","TOT","PC_LF","Q","2006-Q4",7.84429,
"BEL","UNEMP","TOT","PC_LF","Q","2007-Q1",7.83076,
"BEL","UNEMP","TOT","PC_LF","Q","2007-Q2",7.969437,
"BEL","UNEMP","TOT","PC_LF","Q","2007-Q3",7.048584,
"BEL","UNEMP","TOT","PC_LF","Q","2007-Q4",6.98264,
"BEL","UNEMP","TOT","PC_LF","Q","2008-Q1",6.950248,
"BEL","UNEMP","TOT","PC_LF","Q","2008-Q2",6.643699,
"BEL","UNEMP","TOT","PC_LF","Q","2008-Q3",7.53502,
