"","Year","Quarter","Percentage unemployed %"
"2892","2011","Q2",7.829398
"2893","2011","Q3",7.679026
"2894","2011","Q4",7.769462
"2895","2012","Q1",7.751285
"2896","2012","Q2",7.888977
"2897","2012","Q3",8.097541
"2898","2012","Q4",8.162376
"2899","2013","Q1",8.129064
"2900","2013","Q2",8.080933
"2901","2013","Q3",8.003414
"2902","2013","Q4",7.998592
"2903","2014","Q1",8.029609
"2904","2014","Q2",7.976685
"2905","2014","Q3",7.929093
"2906","2014","Q4",7.88153
"2907","2015","Q1",7.700433
"2908","2015","Q2",7.614296
"2909","2015","Q3",7.262278
"2910","2015","Q4",7.152403
"2911","2016","Q1",7.175399
"2912","2016","Q2",6.948908
"2913","2016","Q3",6.922754
"2914","2016","Q4",6.91628
"2915","2017","Q1",6.764029
"2916","2017","Q2",6.757636
"2917","2017","Q3",6.765672
"2918","2017","Q4",6.586978
"2919","1999","Q2",3.144907
"2920","2000","Q2",2.664994
"2921","2001","Q2",2.490901
"2922","2002","Q2",2.92339
"2923","2003","Q2",4.115555
"2924","2004","Q2",4.316408
"2925","2005","Q2",4.436162
"2926","2006","Q2",3.99981
"2927","2007","Q2",3.650983
"2928","2008","Q2",3.350551
"2929","2009","Q2",4.115744
"2930","2010","Q1",5.077538
"2931","2010","Q2",4.943117
"2932","2010","Q3",4.750838
"2933","2010","Q4",4.460334
"2934","2011","Q1",4.428567
"2935","2011","Q2",4.171763
"2936","2011","Q3",4.431897
"2937","2011","Q4",4.595796
"2938","2012","Q1",4.261568
"2939","2012","Q2",4.316696
"2940","2012","Q3",4.477127
"2941","2012","Q4",4.880468
"2942","2013","Q1",4.823097
"2943","2013","Q2",4.81446
"2944","2013","Q3",4.712553
"2945","2013","Q4",4.638993
"2946","2014","Q1",4.99647
"2947","2014","Q2",4.96717
"2948","2014","Q3",4.867907
"2949","2014","Q4",4.479836
"2950","2015","Q1",4.426288
"2951","2015","Q2",4.722266
"2952","2015","Q3",4.962091
"2953","2015","Q4",5.089626
"2954","2016","Q1",5.009541
"2955","2016","Q2",4.928693
"2956","2016","Q3",4.925498
"2957","2016","Q4",4.808444
"2958","2017","Q1",4.951918
"2959","2017","Q2",4.681781
"2960","2017","Q3",4.804961
"2961","2017","Q4",4.749246
"2962","2006","Q1",9.240051
"2963","2006","Q2",8.591439
"2964","2006","Q3",8.656647
"2965","2006","Q4",8.397324
"2966","2007","Q1",8.647532
"2967","2007","Q2",8.888696
"2968","2007","Q3",8.817039
"2969","2007","Q4",9.120255
"2970","2008","Q1",9.166127
"2971","2008","Q2",8.946706
"2972","2008","Q3",9.493902
"2973","2008","Q4",11.19922
"2974","2009","Q1",12.46132
"2975","2009","Q2",13.32388
"2976","2009","Q3",12.66517
"2977","2009","Q4",11.7751
"2978","2010","Q1",11.49561
"2979","2010","Q2",10.82639
"2980","2010","Q3",10.55736
"2981","2010","Q4",9.772677
"2982","2011","Q1",9.213247
"2983","2011","Q2",9.35043
"2984","2011","Q3",8.53271
"2985","2011","Q4",8.098519
"2986","2012","Q1",8.330812
"2987","2012","Q2",8.013638
"2988","2012","Q3",7.969571
"2989","2012","Q4",8.28322
"2990","2013","Q1",8.427729
"2991","2013","Q2",8.752433
"2992","2013","Q3",8.943489
"2993","2013","Q4",8.800799
"2994","2014","Q1",9.144834
"2995","2014","Q2",9.604676
"2996","2014","Q3",10.21921
"2997","2014","Q4",10.53096
"2998","2015","Q1",10.18371
"2999","2015","Q2",10.23682
"3000","2015","Q3",10.23941
"3001","2015","Q4",10.2833
"3002","2016","Q1",9.920199
"3003","2016","Q2",10.32837
"3004","2016","Q3",11.33588
"3005","2016","Q4",11.74359
"3006","2017","Q1",11.57299
"3007","2017","Q2",11.13321
"3008","2017","Q3",10.51793
"3009","2017","Q4",10.07277
"3010","1999","Q2",6.191684
"3011","1999","Q3",6.032224
"3012","1999","Q4",5.888059
"3013","2000","Q1",5.847101
"3014","2000","Q2",5.700365
"3015","2000","Q3",5.391789
"3016","2000","Q4",5.360777
"3017","2001","Q1",5.141564
"3018","2001","Q2",4.816613
"3019","2001","Q3",5.02706
"3020","2001","Q4",5.070068
"3021","2002","Q1",5.068846
"3022","2002","Q2",5.157962
"3023","2002","Q3",5.154092
"3024","2002","Q4",5.149804
"3025","2003","Q1",5.037232
"3026","2003","Q2",4.912145
"3027","2003","Q3",5.009759
"3028","2003","Q4",4.909711
"3029","2004","Q1",4.696067
"3030","2004","Q2",4.683445
"3031","2004","Q3",4.667047
"3032","2004","Q4",4.718091
"3033","2005","Q1",4.650391
"3034","2005","Q2",4.617151
"3035","2005","Q3",4.618825
"3036","2005","Q4",5.112424
"3037","2006","Q1",5.180131
"3038","2006","Q2",5.392319
"3039","2006","Q3",5.448674
"3040","2006","Q4",5.376539
"3041","2007","Q1",5.483933
"3042","2007","Q2",5.278152
"3043","2007","Q3",5.257099
"3044","2007","Q4",5.030992
"3045","2008","Q1",5.115466
"3046","2008","Q2",5.260942
"3047","2008","Q3",5.812365
"3048","2008","Q4",6.265996
"3049","2009","Q1",7.003139
"3050","2009","Q2",7.708221
"3051","2009","Q3",7.73589
"3052","2009","Q4",7.702448
"3053","2010","Q1",7.939924
"3054","2010","Q2",7.7816
"3055","2010","Q3",7.626228
"3056","2010","Q4",7.800442
"3057","2011","Q1",7.714464
"3058","2011","Q2",7.910563
"3059","2011","Q3",8.191033
"3060","2011","Q4",8.332502
"3061","2012","Q1",8.147831
"3062","2012","Q2",7.922389
"3063","2012","Q3",7.735655
"3064","2012","Q4",7.738188
"3065","2013","Q1",7.764759
"3066","2013","Q2",7.702406
"3067","2013","Q3",7.504679
"3068","2013","Q4",7.131892
"3069","2014","Q1",6.665147
"3070","2014","Q2",6.218587
"3071","2014","Q3",5.923271
"3072","2014","Q4",5.636762
"3073","2015","Q1",5.429415
"3074","2015","Q2",5.507061
"3075","2015","Q3",5.288563
"3076","2015","Q4",4.982372
"3077","2016","Q1",4.980577
"3078","2016","Q2",4.840254
"3079","2016","Q3",4.780928
"3080","2016","Q4",4.652104
"3081","2017","Q1",4.517216
"3082","2017","Q2",4.345371
"3083","2017","Q3",4.24053
"3084","2017","Q4",4.236871
"3085","1960","Q4",6.266667
"3086","1961","Q1",6.8
"3087","1961","Q2",7
"3088","1961","Q3",6.766667
"3089","1961","Q4",6.2
"3090","1962","Q1",5.633333
"3091","1962","Q2",5.533333
"3092","1962","Q3",5.566667
"3093","1962","Q4",5.533333
"3094","1963","Q1",5.766667
"3095","1963","Q2",5.733333
"3096","1963","Q3",5.5
"3097","1963","Q4",5.566667
"3098","1964","Q1",5.466667
"3099","1964","Q2",5.2
"3100","1964","Q3",5
"3101","1964","Q4",4.966667
"3102","1965","Q1",4.9
"3103","1965","Q2",4.666667
"3104","1965","Q3",4.366667
"3105","1965","Q4",4.1
"3106","1966","Q1",3.866667
"3107","1966","Q2",3.833333
"3108","1966","Q3",3.766667
"3109","1966","Q4",3.7
"3110","1967","Q1",3.833333
"3111","1967","Q2",3.833333
"3112","1967","Q3",3.8
"3113","1967","Q4",3.9
"3114","1968","Q1",3.733333
"3115","1968","Q2",3.566667
"3116","1968","Q3",3.533333
"3117","1968","Q4",3.4
"3118","1969","Q1",3.4
"3119","1969","Q2",3.433333
"3120","1969","Q3",3.566667
"3121","1969","Q4",3.566667
"3122","1970","Q1",4.166667
"3123","1970","Q2",4.766667
"3124","1970","Q3",5.166667
"3125","1970","Q4",5.833333
"3126","1971","Q1",5.933333
"3127","1971","Q2",5.9
"3128","1971","Q3",6.033333
"3129","1971","Q4",5.933333
"3130","1972","Q1",5.766667
"3131","1972","Q2",5.7
"3132","1972","Q3",5.566667
"3133","1972","Q4",5.366667
"3134","1973","Q1",4.933333
"3135","1973","Q2",4.933333
"3136","1973","Q3",4.8
"3137","1973","Q4",4.766667
"3138","1974","Q1",5.133333
"3139","1974","Q2",5.2
"3140","1974","Q3",5.633333
"3141","1974","Q4",6.6
"3142","1975","Q1",8.266666
"3143","1975","Q2",8.866667
"3144","1975","Q3",8.466666
"3145","1975","Q4",8.3
"3146","1976","Q1",7.733333
"3147","1976","Q2",7.566667
"3148","1976","Q3",7.733333
"3149","1976","Q4",7.766667
"3150","1977","Q1",7.5
"3151","1977","Q2",7.133333
"3152","1977","Q3",6.9
"3153","1977","Q4",6.666667
"3154","1978","Q1",6.333333
"3155","1978","Q2",6
"3156","1978","Q3",6.033333
"3157","1978","Q4",5.9
"3158","1979","Q1",5.866667
"3159","1979","Q2",5.7
"3160","1979","Q3",5.866667
"3161","1979","Q4",5.966667
"3162","1980","Q1",6.3
"3163","1980","Q2",7.333333
"3164","1980","Q3",7.666667
"3165","1980","Q4",7.4
"3166","1981","Q1",7.433333
"3167","1981","Q2",7.4
"3168","1981","Q3",7.4
"3169","1981","Q4",8.233334
"3170","1982","Q1",8.833333
"3171","1982","Q2",9.433333
"3172","1982","Q3",9.9
"3173","1982","Q4",10.66667
"3174","1983","Q1",10.36667
"3175","1983","Q2",10.13333
"3176","1983","Q3",9.366667
"3177","1983","Q4",8.533334
"3178","1984","Q1",7.866667
"3179","1984","Q2",7.433333
"3180","1984","Q3",7.433333
"3181","1984","Q4",7.3
"3182","1985","Q1",7.233333
"3183","1985","Q2",7.3
"3184","1985","Q3",7.2
"3185","1985","Q4",7.033333
"3186","1986","Q1",7.033333
"3187","1986","Q2",7.166667
"3188","1986","Q3",6.966667
"3189","1986","Q4",6.833333
"3190","1987","Q1",6.6
"3191","1987","Q2",6.266667
"3192","1987","Q3",6
"3193","1987","Q4",5.833333
"3194","1988","Q1",5.7
"3195","1988","Q2",5.466667
"3196","1988","Q3",5.466667
"3197","1988","Q4",5.333333
"3198","1989","Q1",5.2
"3199","1989","Q2",5.233333
"3200","1989","Q3",5.233333
"3201","1989","Q4",5.366667
"3202","1990","Q1",5.3
"3203","1990","Q2",5.333333
"3204","1990","Q3",5.7
"3205","1990","Q4",6.133333
"3206","1991","Q1",6.6
"3207","1991","Q2",6.833333
"3208","1991","Q3",6.866667
"3209","1991","Q4",7.1
"3210","1992","Q1",7.366667
"3211","1992","Q2",7.6
"3212","1992","Q3",7.633333
"3213","1992","Q4",7.366667
"3214","1993","Q1",7.133333
"3215","1993","Q2",7.066667
"3216","1993","Q3",6.8
"3217","1993","Q4",6.633333
"3218","1994","Q1",6.566667
"3219","1994","Q2",6.2
"3220","1994","Q3",6
"3221","1994","Q4",5.633333
"3222","1995","Q1",5.466667
"3223","1995","Q2",5.666667
"3224","1995","Q3",5.666667
"3225","1995","Q4",5.566667
"3226","1996","Q1",5.533333
"3227","1996","Q2",5.5
"3228","1996","Q3",5.266667
"3229","1996","Q4",5.333333
"3230","1997","Q1",5.233333
"3231","1997","Q2",5
"3232","1997","Q3",4.866667
"3233","1997","Q4",4.666667
"3234","1998","Q1",4.633333
"3235","1998","Q2",4.4
"3236","1998","Q3",4.533333
"3237","1998","Q4",4.433333
"3238","1999","Q1",4.3
"3239","1999","Q2",4.266667
"3240","1999","Q3",4.233333
"3241","1999","Q4",4.066667
"3242","2000","Q1",4.033333
"3243","2000","Q2",3.933333
"3244","2000","Q3",4
"3245","2000","Q4",3.9
"3246","2001","Q1",4.233333
"3247","2001","Q2",4.4
"3248","2001","Q3",4.833333
"3249","2001","Q4",5.5
"3250","2002","Q1",5.7
"3251","2002","Q2",5.833333
"3252","2002","Q3",5.733333
"3253","2002","Q4",5.866667
"3254","2003","Q1",5.866667
"3255","2003","Q2",6.133333
"3256","2003","Q3",6.133333
"3257","2003","Q4",5.833333
"3258","2004","Q1",5.7
"3259","2004","Q2",5.6
"3260","2004","Q3",5.433333
"3261","2004","Q4",5.433333
"3262","2005","Q1",5.3
"3263","2005","Q2",5.1
"3264","2005","Q3",4.966667
"3265","2005","Q4",4.966667
"3266","2006","Q1",4.733333
"3267","2006","Q2",4.633333
"3268","2006","Q3",4.633333
"3269","2006","Q4",4.433333
"3270","2007","Q1",4.5
"3271","2007","Q2",4.5
"3272","2007","Q3",4.666667
"3273","2007","Q4",4.8
"3274","2008","Q1",5
"3275","2008","Q2",5.333333
"3276","2008","Q3",6
"3277","2008","Q4",6.866667
"3278","2009","Q1",8.266666
"3279","2009","Q2",9.3
"3280","2009","Q3",9.633333
"3281","2009","Q4",9.933333
"3282","2010","Q1",9.833333
"3283","2010","Q2",9.633333
"3284","2010","Q3",9.466666
"3285","2010","Q4",9.5
"3286","2011","Q1",9.033334
"3287","2011","Q2",9.066667
"3288","2011","Q3",9
"3289","2011","Q4",8.633333
"3290","2012","Q1",8.266666
"3291","2012","Q2",8.2
"3292","2012","Q3",8.033334
"3293","2012","Q4",7.8
"3294","2013","Q1",7.733333
"3295","2013","Q2",7.533333
"3296","2013","Q3",7.233333
"3297","2013","Q4",6.933333
"3298","2014","Q1",6.666667
"3299","2014","Q2",6.233333
"3300","2014","Q3",6.1
"3301","2014","Q4",5.7
"3302","2015","Q1",5.566667
"3303","2015","Q2",5.4
"3304","2015","Q3",5.1
"3305","2015","Q4",5
"3306","2016","Q1",4.933333
"3307","2016","Q2",4.866667
"3308","2016","Q3",4.933333
"3309","2016","Q4",4.733333
"3310","2017","Q1",4.666667
"3311","2017","Q2",4.333333
"3312","2017","Q3",4.3
"3313","2017","Q4",4.1
"3314","2018","Q1",4.1
"3315","1981","Q1",13.35363
"3316","1981","Q2",14.12078
"3317","1981","Q3",14.48994
"3318","1981","Q4",14.53137
"3319","1982","Q1",14.38096
"3320","1982","Q2",10.61557
"3321","1982","Q3",10.19537
"3322","1982","Q4",9.574984
"3323","1983","Q1",10.85642
"3324","1983","Q2",12.00819
"3325","1983","Q3",12.41369
"3326","1983","Q4",12.59018
"3327","1984","Q1",13.07909
"3328","1984","Q2",13.45151
"3329","1984","Q3",12.67065
"3330","1984","Q4",11.65819
"3331","1985","Q1",10.63293
"3332","1985","Q2",9.912698
"3333","1985","Q3",8.966698
"3334","1985","Q4",8.019951
"3335","1986","Q1",7.143942
"3336","1986","Q2",6.578075
"3337","1986","Q3",6.098882
"3338","1986","Q4",5.848603
"3339","1987","Q1",5.316467
"3340","1987","Q2",6.446877
"3341","1987","Q3",7.503337
"3342","1987","Q4",7.410341
"3343","1988","Q1",6.861075
"3344","1988","Q2",6.581194
"3345","1988","Q3",7.034356
"3346","1988","Q4",7.01922
"3347","1989","Q1",6.626288
"3348","1989","Q2",5.729528
"3349","1989","Q3",5.772381
"3350","1989","Q4",5.842646
"3351","1990","Q1",5.863968
"3352","1990","Q2",8.271204
"3353","1990","Q3",7.939236
"3354","1990","Q4",8.491565
"3355","1991","Q1",9.280374
"3356","1991","Q2",9.112042
"3357","1991","Q3",7.328665
"3358","1991","Q4",8.773187
"3359","1992","Q1",9.850131
"3360","1992","Q2",9.872469
"3361","1992","Q3",10.06863
"3362","1992","Q4",10.68241
"3363","1993","Q1",9.973209
"3364","1993","Q2",9.202271
"3365","1993","Q3",9.264958
"3366","1993","Q4",9.444322
"3367","1994","Q1",9.533616
"3368","1994","Q2",8.979449
"3369","1994","Q3",9.48911
"3370","1994","Q4",8.209891
"3371","1995","Q1",7.332266
"3372","1995","Q2",7.449475
"3373","1995","Q3",8.842715
"3374","1995","Q4",9.543003
"3375","1996","Q1",9.875109
"3376","1996","Q2",10.09486
"3377","1996","Q3",9.708766
"3378","1996","Q4",9.119918
"3379","1997","Q1",9.49116
"3380","1997","Q2",10.04893
"3381","1997","Q3",10.40938
"3382","1997","Q4",10.54427
"3383","1998","Q1",13.20962
"3384","1998","Q2",13.74531
"3385","1998","Q3",13.90536
"3386","1998","Q4",13.43196
"3387","1999","Q1",13.55206
"3388","1999","Q2",13.46177
"3389","1999","Q3",13.40824
"3390","1999","Q4",13.56984
"3391","2000","Q1",13.86247
"3392","2000","Q2",13.14092
"3393","2000","Q3",12.43908
"3394","2000","Q4",11.5049
"3395","2001","Q1",10.352
"3396","2001","Q2",11.22877
"3397","2001","Q3",10.97368
"3398","2001","Q4",12.10582
"3399","2002","Q1",11.98165
"3400","2002","Q2",11.61003
"3401","2002","Q3",11.62815
"3402","2002","Q4",11.64898
"3403","2003","Q1",11.50839
"3404","2003","Q2",12.3789
"3405","2003","Q3",12.88392
"3406","2003","Q4",12.86619
"3407","2004","Q1",12.05614
"3408","2004","Q2",11.94995
"3409","2004","Q3",11.11195
"3410","2004","Q4",11.0059
"3411","2005","Q1",10.43242
"3412","2005","Q2",9.768042
"3413","2005","Q3",9.462527
"3414","2005","Q4",9.882151
"3415","2006","Q1",9.795341
"3416","2006","Q2",9.97682
"3417","2006","Q3",10.37618
"3418","2006","Q4",9.942763
"3419","2007","Q1",9.640024
"3420","2007","Q2",9.638347
"3421","2007","Q3",9.281559
"3422","2007","Q4",8.764407
"3423","2008","Q1",8.303447
"3424","2008","Q2",7.796753
"3425","2008","Q3",7.74114
"3426","2008","Q4",7.862689
"3427","2009","Q1",8.431323
"3428","2009","Q2",8.281491
"3429","2009","Q3",7.866217
"3430","2009","Q4",7.810998
"3431","2010","Q1",7.276435
"3432","2010","Q2",6.95097
"3433","2010","Q3",6.575003
"3434","2010","Q4",6.158822
"3435","2011","Q1",6.182972
"3436","2011","Q2",6.06849
"3437","2011","Q3",5.952074
"3438","2011","Q4",5.665117
"3439","2012","Q1",5.717491
"3440","2012","Q2",5.655546
"3441","2012","Q3",5.310859
"3442","2012","Q4",5.366254
"3443","2013","Q1",5.458901
"3444","2013","Q2",5.614351
"3445","2013","Q3",5.37225
"3446","2013","Q4",5.111295
"3447","2014","Q1",4.89821
"3448","2014","Q2",4.654611
"3449","2014","Q3",4.860005
"3450","2014","Q4",5.008293
"3451","2015","Q1",5.672518
"3452","2015","Q2",6.399823
"3453","2015","Q3",7.427279
"3454","1986","Q1",13.87486
"3455","1986","Q2",12.00761
"3456","1986","Q3",11.30358
"3457","1986","Q4",11.23979
"3458","1987","Q1",11.05334
"3459","1987","Q2",11.39286
"3460","1987","Q3",10.88456
"3461","1987","Q4",10.37098
"3462","1988","Q1",10.45868
"3463","1988","Q2",10.27334
"3464","1988","Q3",9.643232
"3465","1988","Q4",8.61272
"3466","1989","Q1",8.200078
"3467","1989","Q2",8.210909
"3468","1989","Q3",7.515443
"3469","1989","Q4",7.697931
"3470","1990","Q1",7.401163
"3471","1990","Q2",7.889283
"3472","1990","Q3",7.707736
"3473","1990","Q4",8.050205
"3474","1991","Q1",8.294558
"3475","1991","Q2",8.027772
"3476","1991","Q3",8.633971
"3477","1991","Q4",7.665399
"3478","1992","Q1",7.064775
"3479","1992","Q2",6.375792
"3480","1992","Q3",6.561326
"3481","1992","Q4",6.671142
"3482","1993","Q1",6.578003
"3483","1993","Q2",6.234622
"3484","1993","Q3",6.472565
"3485","1993","Q4",6.914673
"3486","1994","Q1",7.3373
"3487","1994","Q2",7.666368
"3488","1994","Q3",7.882813
"3489","1994","Q4",8.38695
"3490","1995","Q1",7.668089
"3491","1995","Q2",7.407445
"3492","1995","Q3",7.039192
"3493","1995","Q4",7.110807
"3494","1996","Q1",6.859408
"3495","1996","Q2",6.289304
"3496","1996","Q3",6.25936
"3497","1996","Q4",5.881172
"3498","1997","Q1",6.122269
"3499","1997","Q2",6.312717
"3500","1997","Q3",6.20174
"3501","1997","Q4",5.829946
"3502","1998","Q1",5.54216
"3503","1998","Q2",5.829267
"3504","1998","Q3",6.309232
"3505","1998","Q4",7.968476
"3506","1999","Q1",8.837626
"3507","1999","Q2",10.62873
"3508","1999","Q3",10.9272
"3509","1999","Q4",10.18109
"3510","2000","Q1",9.039263
"3511","2000","Q2",9.3828
"3512","2000","Q3",10.48688
"3513","2000","Q4",9.747266
"3514","2001","Q1",9.963844
"3515","2001","Q2",9.869745
"3516","2001","Q3",10.07355
"3517","2001","Q4",9.488531
"3518","2002","Q1",10.02957
"3519","2002","Q2",9.769154
"3520","2002","Q3",9.848856
"3521","2002","Q4",9.553183
"3522","2003","Q1",9.585103
"3523","2003","Q2",9.563398
"3524","2003","Q3",9.699578
"3525","2003","Q4",9.300561
"3526","2004","Q1",9.534387
"3527","2004","Q2",10.3616
"3528","2004","Q3",10.38498
"3529","2004","Q4",9.760227
"3530","2005","Q1",9.366895
"3531","2005","Q2",9.580806
"3532","2005","Q3",9.249899
"3533","2005","Q4",8.733833
"3534","2006","Q1",8.585641
"3535","2006","Q2",8.494508
"3536","2006","Q3",7.496548
"3537","2006","Q4",6.606709
"3538","2007","Q1",6.872335
"3539","2007","Q2",6.506909
"3540","2007","Q3",7.299538
"3541","2007","Q4",7.865619
"3542","2008","Q1",7.654001
"3543","2008","Q2",7.961774
"3544","2008","Q3",7.408159
"3545","2008","Q4",8.150745
"3546","2009","Q1",9.335902
"3547","2009","Q2",10.22497
"3548","2009","Q3",9.806986
"3549","2009","Q4",9.368772
"3550","2010","Q1",9.128094
"3551","2010","Q2",8.102999
"3552","2010","Q3",7.649833
"3553","2010","Q4",7.708339
"3554","2011","Q1",7.339138
"3555","2011","Q2",6.847896
"3556","2011","Q3",7.154373
"3557","2011","Q4",7.125108
"3558","2012","Q1",6.605687
"3559","2012","Q2",6.290247
"3560","2012","Q3",6.293759
"3561","2012","Q4",6.524877
"3562","2013","Q1",6.211987
"3563","2013","Q2",5.897979
"3564","2013","Q3",5.504725
"3565","2013","Q4",6.099635
"3566","2014","Q1",6.470037
"3567","2014","Q2",6.162244
"3568","2014","Q3",6.426322
"3569","2014","Q4",6.492594
"3570","2015","Q1",6.144079
"3571","2015","Q2",6.229967
"3572","2015","Q3",6.232278
"3573","2015","Q4",6.235957
"3574","2016","Q1",6.283828
"3575","2016","Q2",6.567019
"3576","2016","Q3",6.555587
"3577","2016","Q4",6.540742
"3578","2017","Q1",6.626635
"3579","2017","Q2",6.696011
"3580","2017","Q3",6.506729
"3581","2017","Q4",6.849292
"3582","2000","Q1",15.44911
"3583","2000","Q2",13.21316
"3584","2000","Q3",14.76232
"3585","2000","Q4",15.02538
"3586","2001","Q1",13.53625
"3587","2001","Q2",13.00908
"3588","2001","Q3",12.98131
"3589","2001","Q4",12.49924
"3590","2002","Q1",11.32713
"3591","2002","Q2",9.916236
"3592","2002","Q3",10.99623
"3593","2002","Q4",12.63826
"3594","2003","Q1",10.7353
"3595","2003","Q2",11.20009
"3596","2003","Q3",10.16395
"3597","2003","Q4",9.280482
"3598","2004","Q1",9.827551
"3599","2004","Q2",10.09602
"3600","2004","Q3",10.9341
"3601","2004","Q4",9.703617
"3602","2005","Q1",9.202677
"3603","2005","Q2",8.34322
"3604","2005","Q3",7.347845
"3605","2005","Q4",7.24193
"3606","2006","Q1",6.311458
"3607","2006","Q2",6.162899
"3608","2006","Q3",5.567276
"3609","2006","Q4",5.61087
"3610","2007","Q1",5.025168
"3611","2007","Q2",4.874328
"3612","2007","Q3",4.289299
"3613","2007","Q4",4.175221
"3614","2008","Q1",3.955075
"3615","2008","Q2",3.870434
"3616","2008","Q3",6.458177
"3617","2008","Q4",7.474814
"3618","2009","Q1",10.54996
"3619","2009","Q2",12.88558
"3620","2009","Q3",14.99385
"3621","2009","Q4",15.75004
"3622","2010","Q1",18.73783
"3623","2010","Q2",18.15437
"3624","2010","Q3",16.07597
"3625","2010","Q4",13.84348
"3626","2011","Q1",13.74282
"3627","2011","Q2",12.93686
"3628","2011","Q3",11.15314
"3629","2011","Q4",11.49376
"3630","2012","Q1",10.90803
"3631","2012","Q2",9.96752
"3632","2012","Q3",9.89341
"3633","2012","Q4",9.318132
"3634","2013","Q1",9.538872
"3635","2013","Q2",7.940619
"3636","2013","Q3",8.176092
"3637","2013","Q4",8.878009
"3638","2014","Q1",8.16178
"3639","2014","Q2",6.947985
"3640","2014","Q3",7.842016
"3641","2014","Q4",6.454978
"3642","2015","Q1",6.336459
"3643","2015","Q2",6.445876
"3644","2015","Q3",5.444263
"3645","2015","Q4",6.537166
"3646","2016","Q1",6.208607
"3647","2016","Q2",6.353253
"3648","2016","Q3",7.801575
"3649","2016","Q4",6.68009
"3650","2017","Q1",5.390745
"3651","2017","Q2",6.865417
"3652","2017","Q3",5.427674
"3653","2017","Q4",5.347238
"3654","1995","Q1",7.228455
"3655","1995","Q2",6.569006
"3656","1995","Q3",6.703467
"3657","1995","Q4",6.825059
"3658","1996","Q1",6.495702
"3659","1996","Q2",6.313071
"3660","1996","Q3",6.654221
"3661","1996","Q4",7.070201
"3662","1997","Q1",7.222445
"3663","1997","Q2",7.664562
"3664","1997","Q3",7.954044
"3665","1997","Q4",8.72161
"3666","1998","Q1",8.72161
"3667","1998","Q2",9.085989
"3668","1998","Q3",8.202369
"3669","1998","Q4",8.051729
"3670","1999","Q1",8.646311
"3671","1999","Q2",8.978733
"3672","1999","Q3",8.850125
"3673","1999","Q4",8.731811
"3674","2000","Q1",8.583014
"3675","2000","Q2",8.730902
"3676","2000","Q3",8.886909
"3677","2000","Q4",8.840213
"3678","2001","Q1",8.610055
"3679","2001","Q2",8.88157
"3680","2001","Q3",9.51546
"3681","2001","Q4",10.1992
"3682","2002","Q1",10.36528
"3683","2002","Q2",10.33716
"3684","2002","Q3",10.27996
"3685","2002","Q4",10.14563
"3686","2003","Q1",10.65303
"3687","2003","Q2",10.32521
"3688","2003","Q3",10.82036
"3689","2003","Q4",10.8832
"3690","2004","Q1",10.9159
"3691","2004","Q2",10.44074
"3692","2004","Q3",10.12025
"3693","2004","Q4",9.746686
"3694","2005","Q1",9.399911
"3695","2005","Q2",9.02829
"3696","2005","Q3",8.807969
"3697","2005","Q4",8.952209
"3698","2006","Q1",8.693213
"3699","2006","Q2",8.640979
"3700","2006","Q3",8.334103
"3701","2006","Q4",7.822766
"3702","2007","Q1",7.663089
"3703","2007","Q2",7.552183
"3704","2007","Q3",7.181745
"3705","2007","Q4",6.713046
"3706","2008","Q1",6.197748
"3707","2008","Q2",5.995101
"3708","2008","Q3",5.965548
"3709","2008","Q4",6.399819
"3710","2009","Q1",7.469288
"3711","2009","Q2",7.922165
"3712","2009","Q3",7.67085
"3713","2009","Q4",7.204072
"3714","2010","Q1",6.863624
"3715","2010","Q2",6.548932
"3716","2010","Q3",6.644068
"3717","2010","Q4",6.461596
"3718","2011","Q1",5.953878
"3719","2011","Q2",5.463726
"3720","2011","Q3",5.6
"3721","2011","Q4",5.4
"3722","2012","Q1",6.838819
"3723","2012","Q2",6.910779
"3724","2012","Q3",6.739451
"3725","2012","Q4",6.959115
"3726","2013","Q1",6.716684
"3727","2013","Q2",6.685748
"3728","2013","Q3",5.90542
"3729","2013","Q4",5.689915
"3730","2014","Q1",5.847793
"3731","2014","Q2",6.06315
"3732","2014","Q3",6.127514
"3733","2014","Q4",5.657525
"3734","2015","Q1",5.411553
"3735","2015","Q2",5.1368
"3736","2015","Q3",5.281903
"3737","2015","Q4",5.22508
"3738","2016","Q1",5.200168
"3739","2016","Q2",4.707492
"3740","2016","Q3",4.772188
"3741","2016","Q4",4.433505
"3742","2017","Q1",4.325487
"3743","2017","Q2",4.392956
"3744","2017","Q3",4.09616
"3745","2017","Q4",4.151376
"3746","1999","Q1",13.5067
"3747","1999","Q2",13.39278
"3748","1999","Q3",12.81547
"3749","1999","Q4",12.43795
"3750","2000","Q1",11.44641
"3751","2000","Q2",10.46828
"3752","2000","Q3",10.51129
"3753","2000","Q4",9.647403
"3754","2001","Q1",9.236683
"3755","2001","Q2",8.910692
"3756","2001","Q3",9.070736
"3757","2001","Q4",8.695796
"3758","2002","Q1",7.620498
"3759","2002","Q2",7.931847
"3760","2002","Q3",7.549331
"3761","2002","Q4",8.397899
"3762","2003","Q1",8.444253
"3763","2003","Q2",8.367331
"3764","2003","Q3",8.370146
"3765","2003","Q4",7.740532
"3766","2004","Q1",8.381461
"3767","2004","Q2",7.456278
"3768","2004","Q3",7.397592
"3769","2004","Q4",7.881539
"3770","2005","Q1",7.184169
