"","Country","Quarter","GDP_USD_Millions","changepct"
"1","ARG","1993-Q1",318284.387222,0
"2","ARG","1993-Q2",328116.647433,0.0308914310777741
"3","ARG","1993-Q3",336014.886581,0.024071436819166
"4","ARG","1993-Q4",340325.55116,0.0128287904826527
"5","ARG","1994-Q1",347246.387166,0.0203359282969213
"6","ARG","1994-Q2",356450.494069,0.0265059831957303
"7","ARG","1994-Q3",359374.875825,0.00820417366411028
"8","ARG","1994-Q4",365762.277055,0.0177736443465525
"9","ARG","1995-Q1",361944.068501,-0.0104390441374737
"10","ARG","1995-Q2",349615.63553,-0.0340617074402088
"11","ARG","1995-Q3",349875.693857,0.000743840665494586
"12","ARG","1995-Q4",354343.203909,0.0127688494240641
"13","ARG","1996-Q1",366203.775345,0.0334719879065211
"14","ARG","1996-Q2",375912.308137,0.0265112853707028
"15","ARG","1996-Q3",385724.482866,0.0261022970427027
"16","ARG","1996-Q4",394812.092371,0.0235598462339686
"17","ARG","1997-Q1",405642.058385,0.0274306846808107
"18","ARG","1997-Q2",412822.294473,0.0177009162131436
"19","ARG","1997-Q3",424748.104673,0.0288884838819673
"20","ARG","1997-Q4",431935.213829,0.0169208739884387
"21","ARG","1998-Q1",434885.12369,0.00682951925787605
"22","ARG","1998-Q2",444320.335097,0.0216958706863603
"23","ARG","1998-Q3",444588.275299,0.00060303384930936
"24","ARG","1998-Q4",434547.398726,-0.0225846634535001
"25","ARG","1999-Q1",431199.374284,-0.0077046242868227
"26","ARG","1999-Q2",427681.398409,-0.0081585829776343
"27","ARG","1999-Q3",427914.119056,0.000544144888848904
"28","ARG","1999-Q4",436985.919087,0.0212000483905809
"29","ARG","2000-Q1",438752.464309,0.00404256783763388
"30","ARG","2000-Q2",434031.846555,-0.0107591823135047
"31","ARG","2000-Q3",435599.121736,0.00361096816613755
"32","ARG","2000-Q4",439121.512473,0.0080863127615183
"33","ARG","2001-Q1",442412.518323,0.00749452203210465
"34","ARG","2001-Q2",441878.780176,-0.0012064264117643
"35","ARG","2001-Q3",422988.72766,-0.0427493995264405
"36","ARG","2001-Q4",400566.013976,-0.0530101920399719
"37","ARG","2002-Q1",382671.841698,-0.0446722179457596
"38","ARG","2002-Q2",386095.268622,0.00894611662255974
"39","ARG","2002-Q3",388138.797706,0.00529281047989392
"40","ARG","2002-Q4",393889.030529,0.0148148880168263
"41","ARG","2003-Q1",410246.060163,0.0415269996527506
"42","ARG","2003-Q2",424126.52625,0.033834489675501
"43","ARG","2003-Q3",436721.722892,0.0296967906095451
"44","ARG","2003-Q4",447140.74763,0.0238573539896402
"45","ARG","2004-Q1",466053.500468,0.0422970908785301
"46","ARG","2004-Q2",465242.600047,-0.00173992990115028
"47","ARG","2004-Q3",491707.5406,0.0568841730106539
"48","ARG","2004-Q4",502183.510191,0.0213052856139176
"49","ARG","2005-Q1",521297.989837,0.0380627385370141
"50","ARG","2005-Q2",535935.231729,0.0280784545065612
"51","ARG","2005-Q3",544927.865267,0.0167793289293346
"52","ARG","2005-Q4",559529.306611,0.0267951820317458
"53","ARG","2006-Q1",579258.052491,0.0352595398433992
"54","ARG","2006-Q2",590701.470079,0.0197553016980765
"55","ARG","2006-Q3",611526.955278,0.0352555161174981
"56","ARG","2006-Q4",626433.706132,0.0243762776527543
"57","ARG","2007-Q1",648591.202698,0.0353708562440143
"58","ARG","2007-Q2",666020.538136,0.0268726053722248
"59","ARG","2007-Q3",677015.40888,0.0165083058471011
"60","ARG","2007-Q4",700883.221746,0.035254460316472
"61","ARG","2008-Q1",712194.275573,0.0161382859170498
"62","ARG","2008-Q2",720984.109022,0.0123419040990299
"63","ARG","2008-Q3",731238.748885,0.0142231149545171
"64","ARG","2008-Q4",697158.754641,-0.0466058374176226
"65","ARG","2009-Q1",673724.987862,-0.0336132432146923
"66","ARG","2009-Q2",657458.796643,-0.0241436662021683
"67","ARG","2009-Q3",682320.269081,0.0378144950907088
"68","ARG","2009-Q4",696561.070877,0.02087113990499
"69","ARG","2010-Q1",721052.277959,0.0351601720308092
"70","ARG","2010-Q2",756637.057459,0.0493511782539899
"71","ARG","2010-Q3",763243.729451,0.00873162624916498
"72","ARG","2010-Q4",778063.200529,0.01941643344867
"73","ARG","2011-Q1",800715.565,0.0291137846586225
"74","ARG","2011-Q2",814396.451565,0.0170858256826818
"75","ARG","2011-Q3",825889.07621,0.0141118304517597
"76","ARG","2011-Q4",827574.867247,0.00204118335689352
"77","ARG","2012-Q1",823326.128737,-0.00513396271219997
"78","ARG","2012-Q2",798280.073439,-0.0304205762744603
"79","ARG","2012-Q3",827724.073126,0.0368842974623616
"80","ARG","2012-Q4",845667.650634,0.021678211484455
"81","ARG","2013-Q1",849510.883895,0.00454461425610727
"82","ARG","2013-Q2",855703.34401,0.0072894417627796
"83","ARG","2013-Q3",864447.464169,0.0102186350213654
"84","ARG","2013-Q4",859848.653005,-0.00531994291685608
"85","ARG","2014-Q1",850501.340795,-0.0108708807966763
"86","ARG","2014-Q2",848573.154,-0.00226711787802431
"87","ARG","2014-Q3",847638.189072,-0.00110180828086862
"88","ARG","2014-Q4",857044.354893,0.0110969113263973
"89","ARG","2015-Q1",878505.039368,0.0250403428392914
"90","ARG","2015-Q2",904448.948269,0.0295318839828901
"91","ARG","2015-Q3",908914.690017,0.00493752771402606
"92","ARG","2015-Q4",899066.062833,-0.0108355902838536
"93","ARG","2016-Q1",894107.420244,-0.00551532617455832
"94","ARG","2016-Q2",878376.32955,-0.0175941842532825
"95","ARG","2016-Q3",883887.630884,0.0062744192307908
"96","ARG","2016-Q4",897395.962408,0.0152828606850058
"97","ARG","2017-Q1",921477.566636,0.0268349816990276
"98","ARG","2017-Q2",934124.884115,0.0137250411045503
"99","ARG","2017-Q3",951173.004944,0.0182503657903853
"100","ARG","2017-Q4",971021.285787,0.020867161641292
"101","AUS","1960-Q1",25754.727793,0
"102","AUS","1960-Q2",26454.717811,0.027179088190179
"103","AUS","1960-Q3",26538.869747,0.00318098029248345
"104","AUS","1960-Q4",26507.261114,-0.00119103161895479
"105","AUS","1961-Q1",26597.972356,0.00342212805803946
"106","AUS","1961-Q2",26342.204922,-0.00961605007241469
"107","AUS","1961-Q3",26217.980381,-0.00471579890019958
"108","AUS","1961-Q4",26617.559551,0.0152406540928519
"109","AUS","1962-Q1",27543.524487,0.034787747322433
