"","Year","Quarter","CPI","CPI_indirectcharges_loan&deposit","CPI_seasonallyadjusted","HPI_residentprop","HPI_establishedhouse","HPI_dwelling","EXPI_ANZSIC_agri_forest_fishing","EXPI_ANZSIC_Mining","EXPI_ANZSIC_Manufacturing","EXPI_SITC","IMPI_SITC","IMPI_ANZSIC_agri_forest_fishing","IMPI_ANZSIC_Mining","IMPI_ANZSIC_Manufacturing","WPI","WPI_seasonal","WPI_trend","PPI_incl_exports","PPI_excl_exports","Aggreate_CurrentAcc_Million","Good_Services_Cr","Good_Services_Deb","Sec_Income_Cr","Sec_Income_Deb","Aggregate_CapitalAcc_Million","Capital_Cr","Capital_Deb","Pri_Income_Cr","Pri_Income_Deb","Aggregate_FinanicalAcc_Million","Neterror_Million","Good_Services_Cr_ChainMeasure_Million","Good_Services_Deb_ChainMeasure_Million","Good_Services_Cr_ImpPriceDeflatorInd","Good_Services_Deb_ImpPriceDeflatorInd","Total_Foreign_GrossAssets","Total_Foreign_GrossLiabilities","Net_Intl_Investment","export_inThousands","import_inThousands"
"234","2006","Q4",86.6,86.6,86.7,79.6,80,79.8,67.7,58.6,95.1,74.8,97,94.8,66.1,101.8,91.8,91.9,91.9,83.6,87.9,-16740,56431,-61168,1655,-1738,419,457,-38,9291,-21210,15946,374,54834,-63897,102.9,95.7,-1004055,1593241,589186,43238795.89,46678486.342
"235","2007","Q1",86.6,86.7,86.7,79.7,80.9,80.5,74.4,57.1,95.5,74.8,95.3,93.4,61.5,100.5,92.8,92.8,92.8,83.5,87.9,-16216,53554,-57900,1661,-1896,-13,30,-43,10798,-22433,16271,-41,52071,-61412,102.8,94.3,-1065421,1665772,600351,39806016.674,43961641.045
"236","2007","Q2",87.7,87.7,87.7,83.6,84.3,84.1,75,56.6,96.4,75.1,95.4,88.9,69.2,99.6,93.5,93.7,93.7,84.1,88.8,-17206,55005,-60027,1684,-1672,-109,0,-109,11390,-23586,16207,1108,53463,-64137,102.9,93.6,-1125212,1743861,618650,42439027.929,45639996.38
"237","2007","Q3",88.3,88.3,88.2,86,87.5,87.1,75.8,55.7,92.1,72.9,94.6,92.3,72.8,98.2,94.8,94.7,94.7,84.2,89.8,-21250,55668,-63679,1842,-1656,-57,1,-58,11377,-24802,20019,1289,54815,-68489,101.6,93,-1182614,1803736,621122,42787870.413,47670067.204
"238","2007","Q4",89.1,89.2,89.3,88.1,91.2,90.4,77.9,56.3,90.2,72.5,94.8,89.9,80.4,97.4,95.7,95.6,95.6,84.8,90.4,-21585,57656,-67299,1792,-1709,-60,2,-62,11401,-23427,22132,-487,56279,-72718,102.4,92.5,-1157221,1797575,640354,43352037.164,50515117.258
"239","2008","Q1",90.3,90.3,90.4,87.6,91.8,90.8,89.8,56.6,93.4,75,97.4,97.5,89.3,99,96.6,96.5,96.6,87.1,92.1,-19430,57704,-65856,1835,-1922,-59,6,-65,12805,-23996,20283,-794,54219,-69486,106.4,94.8,-1144916,1792844,647929,42472399.107,50197855.911
"240","2008","Q2",91.6,91.7,91.6,86.9,91,90,93.1,75.2,95.6,85.1,98.8,104,104,98.5,97.5,97.7,97.7,90.9,93,-15758,66338,-70518,1814,-1901,-84,0,-84,13456,-24947,15040,802,56554,-74172,117.3,95.1,-1154913,1814741,659829,52244424.009,53906507.507
"241","2008","Q3",92.7,92.7,92.6,85.8,88.7,88,94.8,97.3,98.1,96.8,103.7,109.4,116.1,102.6,98.6,98.7,98.7,96.1,94.8,-13449,75293,-77172,1835,-1814,-53,0,-53,12905,-24496,14154,-652,57331,-77662,131.3,99.4,-1172090,1857270,685180,60747336.761,59000311.383
"242","2008","Q4",92.4,92.4,92.6,85,87.5,86.8,107,121.6,105.1,112.2,114.8,130.8,93.5,117.7,99.8,99.7,99.7,101.3,96.1,-9082,82541,-81354,1853,-1823,-301,1,-302,12826,-23124,8417,965,57925,-73031,142.5,111.4,-1170891,1873267,702376,66876755.628,62841227.633
"243","2009","Q1",92.5,92.6,92.5,86.3,86.8,86.6,97.9,119.5,97.3,107,111.7,114.5,57.3,118.6,100.5,100.6,100.6,99,95.8,-5579,71464,-66645,1802,-2070,-284,0,-284,12215,-22345,7202,-1339,55776,-61399,128.1,108.5,-1139221,1847640,708419,55689562.142,51017993.782
"244","2009","Q2",92.9,93,93,89.4,90.4,90.2,86.9,81.6,89.5,85,104.5,93,59.3,110.4,101.1,101.3,101.4,91.6,95,-14283,60596,-62055,1750,-2398,-69,1,-70,9754,-21930,14836,-484,56170,-63019,107.9,98.5,-1160269,1852582,692313,47515350.975,46623767.51
"245","2009","Q3",93.8,93.9,93.7,92.7,94.4,94,82.8,65.4,89.5,76.8,101.3,90.6,72.5,105.1,102,101.8,101.8,88.8,95.1,-18652,60076,-66712,1679,-1680,-61,1,-62,9847,-21862,18965,-252,58411,-69802,102.9,95.6,-1210744,1940526,729782,46396940.064,49789749.253
"246","2009","Q4",94.3,94.4,94.5,97.8,99.6,99.2,79.3,64,88.5,75.5,97,88.3,75,99.8,102.7,102.6,102.6,88.1,94.7,-21361,61753,-69370,1702,-1648,-62,21,-83,7750,-21549,23165,-1742,60798,-76451,101.6,90.7,-1233168,1991938,758770,46955242.191,53132061.02
"247","2010","Q1",95.2,95.2,95.2,100.1,103.1,102.3,81.5,65.9,92.7,78.4,97.3,98,73.9,100.2,103.6,103.6,103.5,89.8,95.6,-18038,61444,-65276,1852,-2340,-70,0,-70,9591,-23309,20413,-2305,57375,-72279,107.1,90.3,-1255177,2012425,757248,46277949.355,48660901.792
"248","2010","Q2",95.8,95.8,95.8,102.1,105,104.3,80.2,87.2,97.7,91,99.1,100.5,79.3,101.6,104.2,104.4,104.5,93.5,95.9,-7196,74497,-69810,1852,-2717,-91,0,-91,11327,-22344,6397,890,61292,-76219,121.5,91.6,-1264148,2023203,759055,61090000.506,52394394.297
"249","2010","Q3",96.5,96.5,96.4,100.9,103.8,103,82.4,100.4,97.2,98.1,99.8,100.2,77.1,102.7,105.7,105.5,105.5,95.7,97.2,-11856,76364,-73390,1916,-1969,1,71,-70,11085,-25862,10770,1084,61279,-79814,124.6,92,-1281736,2043317,761581,62243785.154,54502032.325
"250","2010","Q4",96.9,96.9,97,101.7,104.3,103.6,86.1,86.3,96.1,90.2,96.1,94.6,76.7,98.5,106.6,106.6,106.6,94.2,97.3,-12330,76677,-74389,1907,-2061,-146,2,-148,11282,-25746,13667,-1190,63416,-84542,120.9,88,-1308992,2063051,754059,61529280.782,54920945.34
"251","2011","Q1",98.3,98.4,98.3,101.3,103.2,102.7,92.5,92,99,94.8,97.4,100,83.9,99.1,107.6,107.6,107.5,96.4,98.4,-12187,71567,-68757,1960,-2549,-77,0,-77,10563,-24971,12895,-631,55843,-77487,128.2,88.7,-1330429,2099245,768816,56415389.444,50703796.676
"252","2011","Q2",99.2,99.3,99.3,101.4,102.2,102,100,101.5,99.4,100.6,98.2,105.9,98.4,98.1,108.2,108.4,108.5,98.8,99.2,-8925,79065,-73451,1870,-3191,-94,0,-94,11462,-24679,8081,938,59385,-83168,133.1,88.3,-1334455,2109426,774971,65535452.323,53677305.267
"253","2011","Q3",99.8,99.9,99.7,100,100.3,100.2,106.8,106.2,101.7,104.5,98.2,102.7,95.6,98.5,109.5,109.4,109.4,100.9,99.8,-11860,84181,-81886,1911,-2146,-83,1,-84,11904,-25824,10047,1896,62253,-92300,135.2,88.7,-1365192,2168829,803637,70347678.739,60312227.8
"254","2011","Q4",99.8,99.9,99.9,98.7,99.7,99.4,101.1,104.5,101.1,103,100.6,102.3,99.9,100.7,110.5,110.4,110.4,100.8,100.1,-11919,84726,-84445,1929,-2043,-95,0,-95,12269,-24355,13666,-1652,64932,-93086,130.5,90.7,-1348211,2146221,798010,69398793.41,62203493.755
"255","2012","Q1",99.9,99.8,99.9,100.8,99.7,100,96.1,93.7,98.7,95.8,99.4,96.6,99,99.5,111.4,111.5,111.5,98.9,99.8,-16016,73589,-77858,1819,-2528,-109,0,-109,11705,-22743,16352,-227,59788,-87156,123.1,89.3,-1382593,2199363,816770,58103458.591,57793883.247
"256","2012","Q2",100.4,100.4,100.5,100.5,100.3,100.4,96,95.6,98.5,96.7,101.8,98.4,105.5,101.3,112.2,112.5,112.4,99.3,100.3,-11601,79600,-81636,1877,-2882,-121,0,-121,11446,-20006,10068,1654,63993,-89395,124.4,91.3,-1402969,2212528,809558,66166926.896,59419673.335
"257","2012","Q3",101.8,101.6,101.6,100.5,100.1,100.2,92.4,86.9,95.9,90.5,99.4,96.1,94.5,99.8,113.5,113.4,113.4,99.4,100.9,-18691,75927,-83858,1875,-2006,-79,0,-79,11711,-22340,18458,312,65302,-93747,116.3,89.5,-1443853,2257652,813799,61828047.829,61317766.621
"258","2012","Q4",102,101.9,102,102.7,102.3,102.4,96.2,81.6,97.7,88.3,99.7,93.7,96,100,114.3,114.2,114.2,99.2,101.1,-18715,77121,-85836,1880,-2213,-86,0,-86,10977,-20644,17984,818,67705,-95450,113.9,89.9,-1492129,2308912,816783,61648692.054,63280820.081
"259","2013","Q1",102.4,102.3,102.4,103.4,103.1,103.1,95.5,85.9,97.7,90.8,99.7,92,101.4,99.3,115,115,115,99.4,101.4,-11652,74194,-75756,1828,-2453,-122,0,-122,11590,-21055,10861,913,63103,-83902,117.6,90.3,-1511840,2331259,819419,58190644.965,54835627.99
"260","2013","Q2",102.8,102.8,102.9,106.1,105.6,105.7,96.7,86,96.3,90.5,99.4,96,96.5,99.5,115.5,115.7,115.7,99.3,101.5,-11345,79346,-81050,1914,-3103,-166,0,-166,12304,-20756,11272,239,68165,-89830,116.4,90.2,-1618467,2422248,803781,65310264.689,57022381.094
"261","2013","Q3",104,103.9,103.9,108.2,108.4,108.3,103.1,89.6,100,94.3,105.5,102.7,100.9,105.8,116.6,116.4,116.5,100.8,102.8,-17776,83352,-88944,1993,-2190,-88,0,-88,11700,-23687,17389,475,68813,-92372,121.1,96.3,-1641864,2473005,831141,68383422.567,64783985.201
"262","2013","Q4",104.8,104.6,104.8,111.7,113,112.6,100.5,90,98.7,93.8,104.9,100.5,107.7,104.4,117.2,117.2,117.2,100.9,103,-12304,86550,-88538,2031,-1778,-96,0,-96,12350,-22919,11272,1128,71496,-92219,121.1,96,-1760355,2583960,823605,70073599.382,64320774.245
"263","2014","Q1",105.4,105.4,105.4,113.7,114.4,114.2,101.5,92.1,102.1,96.4,108.3,110.8,112.5,107.5,118,118.1,118,102.1,103.9,-9311,85317,-81583,2007,-3447,-100,0,-100,12353,-23958,11518,-2107,68935,-82430,123.8,99,-1753578,2591063,837485,68391393.417,61573726.347
"264","2014","Q2",105.9,106,106.1,115.5,116.8,116.4,100.5,80.1,101,88.8,105.1,109.5,105.8,104.8,118.5,118.7,118.7,101.3,103.8,-11407,81103,-84092,2083,-2833,-71,48,-119,12666,-20334,9465,2013,70764,-87442,114.6,96.2,-1787753,2643010,855257,66072188.597,61591418.214
"265","2014","Q3",106.4,106.4,106.3,116.1,118.4,117.8,100.2,73.7,102.6,85.3,104.3,109.2,103.7,104.1,119.5,119.4,119.4,101.3,104,-16794,81327,-88238,2132,-2359,-101,19,-120,13539,-23195,17375,-480,73849,-92134,110.1,95.8,-1875985,2733603,857619,65124332.664,64582161.567
"266","2014","Q4",106.6,106.7,106.5,118.3,120.9,120.2,101.3,71.6,106.6,85.3,105.2,117.9,91.2,106.4,120.2,120.1,120.1,101.7,104.1,-12713,84373,-89081,2135,-2633,-129,0,-129,13280,-20787,13243,-401,76725,-91278,110,97.6,-1998250,2849609,851359,66333881.631,64943093.053
"267","2015","Q1",106.8,106.9,106.8,119.3,123,122.1,104.8,69.2,108.2,84.6,105,119.6,70.6,108.5,120.7,120.8,120.8,101.9,104.6,-11730,81679,-84290,2129,-2481,-134,1,-135,12980,-21748,12325,-461,74886,-85891,109.1,98.1,-2165355,3036681,871326,62401490.233,61761190.535
"268","2015","Q2",107.5,107.7,107.7,124.2,129.1,127.8,104.1,63.3,108.2,80.9,106.5,121.4,75.2,109.7,121.2,121.4,121.4,101.7,104.9,-18767,77112,-87551,2155,-2963,-155,0,-155,13222,-20742,19624,-702,73538,-88300,104.9,99.2,-2118723,2981051,862328,60691035.472,65594876.12
"269","2015","Q3",108,108.2,107.8,126.2,131.9,130.4,111.1,62.7,108,80.9,108,120.4,65.7,112.2,122.2,122.1,122.1,102.5,105.8,-23650,82717,-94022,2203,-2174,-153,5,-158,12154,-24528,22103,1701,78949,-92167,104.8,102,-2229603,3114723,885120,64814228.593,70000544.416
"270","2015","Q4",108.4,108.8,108.3,126.2,132.1,130.6,106.5,58.1,104.1,76.5,107.7,123.7,62.2,112.1,122.7,122.7,122.7,102.1,106.1,-23220,81628,-94532,2248,-2020,-167,1,-168,12892,-23436,26353,-2966,81206,-92832,100.5,101.8,-2167220,3095856,928636,61705468.902,69717699.407
"271","2016","Q1",108.2,108.8,108.2,125.2,132.1,130.4,100.5,53.8,102.6,72.9,104.5,118.4,47.2,110,123.2,123.3,123.3,101.4,105.9,-13522,76945,-83018,2174,-2411,-174,1,-175,14107,-21319,16113,-2417,79364,-84264,97,98.5,-2135717,3115219,979502,56138931.239,61103632.632
"272","2016","Q2",108.6,109.3,108.8,126.9,135.1,133,99.8,55.1,103.2,73.9,103.5,115.6,51.2,108.6,123.7,123.9,123.9,101.5,106,-14755,78234,-85549,2236,-2483,-174,29,-203,14584,-21777,16060,-1131,80005,-87858,97.8,97.4,-2207710,3208051,1000342,60764084.822,62441637.105
"273","2016","Q3",109.4,110,109.3,128.4,137.3,135,96.9,58.9,105.5,76.9,102.5,120.9,52,107.4,124.6,124.4,124.4,102.3,106.3,-17283,83580,-89860,2172,-2262,-99,30,-129,12415,-23328,14787,2595,82878,-93077,100.8,96.5,-2183176,3184082,1000906,64294189.719,65148919.157
"274","2016","Q4",110,110.5,109.8,131.3,143.8,140.6,96.5,76.1,106.1,88.2,102.7,126.4,57.4,107.2,125.1,125,125,104.4,106.8,-5951,98175,-92167,2204,-1937,-367,8,-375,13591,-25818,5158,1160,87425,-95561,112.3,96.4,-2259986,3237464,977478,77270842.544,65650670.159
"275","2017","Q1",110.5,111.1,110.5,133.5,147.3,143.7,97.4,86.3,109.6,96,103.9,132.3,63.6,107.9,125.6,125.7,125.6,105.9,107.3,-5077,96889,-88574,2196,-2695,-144,2,-146,13170,-26063,7031,-1809,82388,-91505,117.6,96.8,-2214294,3186369,972075,74557327.607,63468929.105
"276","2017","Q2",110.7,111.4,110.9,136.1,150.1,146.5,97.2,77.5,110.2,90.5,103.8,131.5,59.6,108.2,126.1,126.3,126.3,105.8,107.8,-9475,94747,-91986,2271,-2603,171,340,-169,13541,-25445,9984,-681,84356,-94428,112.3,97.4,-2273086,3220362,947275,74757350.9,69739560.712
"277","2017","Q3",111.4,112.2,111.3,135,150.1,146.2,98.3,74.5,107.6,87.8,102.1,129.1,58.9,106.3,127.1,126.9,126.9,105.5,108,-13257,97090,-96099,2219,-2307,-123,5,-128,13945,-28105,12765,615,87936,-100246,110.4,95.9,-2258717,3217067,958350,75590170.57,82277031.673
"278","2017","Q4",112.1,113.1,112,135.8,151.8,147.6,102.7,75.7,111.9,90.3,104.1,132.1,65.9,107.9,127.7,127.6,127.6,106.8,108.6,-14605,98947,-99418,2208,-2114,-413,2,-415,14384,-28611,13990,1028,88247,-102370,112.1,97.1,-2338386,3324580,986194,76423212.987,72831494.177
"279","2018","Q1",112.6,113.6,112.6,NA,NA,NA,106.8,81.9,113,94.7,106.3,133.4,74.9,109.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
